Problem,Algorithm,IGD_mean,IGD_std,FEs_mean,FEs_std
ZDT1,NSGA-III,1.213407e-01,4.076756e-02,1500,0
ZDT1,HA-RBF-PBI,1.028121e-01,6.264668e-02,1421,19
ZDT2,NSGA-III,2.848153e-01,5.255239e-02,1500,0
ZDT2,HA-RBF-PBI,5.111221e-01,6.975145e-02,1406,8
ZDT3,NSGA-III,1.019998e-01,7.170739e-03,1500,0
ZDT3,HA-RBF-PBI,3.480556e-01,2.905575e-01,1439,9
ZDT4,NSGA-III,1.536063e+01,2.276903e+00,1500,0
ZDT4,HA-RBF-PBI,1.000949e+01,3.148903e+00,1455,22
ZDT6,NSGA-III,3.737581e+00,2.296554e-01,1500,0
ZDT6,HA-RBF-PBI,5.114794e+00,3.185543e-01,1444,17
