Problem,Algorithm,IGD_mean,IGD_std,FEs_mean,FEs_std
ZDT1,NSHA-Full,6.041501e-02,4.936017e-02,1632,26
ZDT1,NSHA-NoLS,2.685264e-01,1.088364e-02,1500,0
ZDT1,NSHA-StdGA,5.590120e-02,1.873212e-02,1644,20
ZDT2,NSHA-Full,4.105129e-01,1.386126e-01,1572,13
ZDT2,NSHA-NoLS,6.679859e-01,3.597964e-02,1500,0
ZDT2,NSHA-StdGA,4.259948e-01,1.624932e-01,1580,11
ZDT3,NSHA-Full,2.311204e-01,1.405969e-01,1620,16
ZDT3,NSHA-NoLS,3.671547e-01,1.934793e-01,1500,0
ZDT3,NSHA-StdGA,7.202257e-02,2.190795e-02,1650,11
ZDT4,NSHA-Full,5.257010e+00,1.112885e+00,1569,7
ZDT4,NSHA-NoLS,5.257010e+00,1.112885e+00,1500,0
ZDT4,NSHA-StdGA,8.602247e+00,2.936014e+00,1600,2
ZDT6,NSHA-Full,1.924801e+00,2.482370e+00,1618,36
ZDT6,NSHA-NoLS,4.801283e+00,5.729549e-01,1500,0
ZDT6,NSHA-StdGA,8.815672e-02,4.642382e-02,1633,16
