problem,seed,generation,fes,volume,constraint_size,best_x
QuickSimu1,2027,1,50,0.00185099925,0.08791080052981905,"[1.4216153963735185, 0.011586995582022532, 0.012249181110425937]"
QuickSimu1,2027,2,95,0.00185099925,0.08791080052981905,"[1.4216153963735185, 0.011586995582022532, 0.012249181110425937]"
QuickSimu1,2027,3,139,0.00157110646,0.08674640966882145,"[1.0212014687794246, 0.010585774016470914, 0.011056005639727907]"
QuickSimu1,2027,4,184,0.00147297309,0.10725069711777217,"[1.0550741556302956, 0.01002537841930041, 0.011460228538788472]"
QuickSimu1,2027,5,234,0.00136243758,0.16916337966574418,"[1.251248488982082, 0.01, 0.01]"
QuickSimu1,2027,6,284,0.00136243758,0.16916337966574418,"[1.251248488982082, 0.01, 0.01]"
QuickSimu1,2027,7,329,0.00136243758,0.16916337966574418,"[1.251248488982082, 0.01, 0.01]"
QuickSimu1,2027,8,374,0.00136243758,0.16916337966574418,"[1.251248488982082, 0.01, 0.01]"
QuickSimu1,2027,9,419,0.00136243758,0.16916337966574418,"[1.251248488982082, 0.01, 0.01]"
QuickSimu1,2027,10,466,0.00136060156,0.17350836551506071,"[1.287968879494657, 0.01, 0.01]"
QuickSimu1,2027,11,510,0.00135996629,0.17635152770780432,"[1.301222134660137, 0.010000128041565524, 0.01]"
QuickSimu1,2027,12,554,0.00135905434,0.17702971864546269,"[1.3189132143157103, 0.01, 0.01]"
QuickSimu1,2027,13,602,0.00135371248,0.18485124483703103,"[1.438707389236184, 0.010002970632905067, 0.01]"
QuickSimu1,2027,14,652,0.00135303821,0.1875119960236457,"[1.4547471586785399, 0.010003548343765234, 0.01]"
QuickSimu1,2027,15,702,0.00135260725,0.17869438033407287,"[1.447855060887664, 0.01, 0.01]"
QuickSimu1,2027,16,751,0.00134994542,0.19011581383367676,"[1.5063020327045151, 0.010001183641261312, 0.01]"
QuickSimu1,2027,17,800,0.00134915164,0.19244123355247145,"[1.5281811004996264, 0.010002539780609564, 0.01]"
QuickSimu1,2027,18,850,0.00134512694,0.1977085811613512,"[1.6, 0.010000569495635811, 0.01]"
QuickSimu1,2027,19,899,0.00134506,0.19499198399231243,"[1.6, 0.010000269167790381, 0.01]"
QuickSimu1,2027,20,948,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,21,997,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,22,1045,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,23,1093,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,24,1136,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,25,1180,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,26,1224,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,27,1267,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,28,1310,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,29,1351,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
QuickSimu1,2027,30,1396,0.001345,0.18855464960849028,"[1.6, 0.01, 0.01]"
