problem,model_type,seed,sample_count,x1,x2,x3,f_real,g_real,feasible_real
QuickSimu1,kriging,2026,100,1.270848123705379,0.01,0.010000001664164059,0.00136145769,0.11599737833920552,False
QuickSimu1,kriging,2027,100,1.335133284331845,0.01,0.01,0.00135824334,0.17293258698856062,False
QuickSimu1,kriging,2028,100,0.6796396594491492,0.01,0.01,0.00139101802,0.15230220098976616,False
QuickSimu1,rbf,2026,100,0.8872585816929018,0.01,0.01,0.00138063707,0.15141939203539084,False
QuickSimu1,rbf,2027,100,1.3312380308376572,0.01,0.01,0.0013584381,0.17325715619532817,False
QuickSimu1,rbf,2028,100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,polynomial,2026,100,1.5994741747244279,0.01,0.0627819999536195,0.00331311891,0.08312164060374881,False
QuickSimu1,polynomial,2027,100,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,100,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,kan,2026,100,1.2700878168449974,0.01,0.01,0.00136149561,0.17027875141710247,False
QuickSimu1,kan,2027,100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,100,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan_gp,2026,100,1.2297596552203929,0.01,0.01,0.00136351202,0.17123827272398556,False
QuickSimu1,kan_gp,2027,100,1.253518324941761,0.010000000301078508,0.01,0.00136232415,0.17296637228768386,False
QuickSimu1,kan_gp,2028,100,1.2560003708365053,0.01,0.01,0.00136219998,0.17075951720309418,False
QuickSimu1,kriging,2026,200,0.5467389571212237,0.01,0.01,0.00139766305,0.164873736157729,False
QuickSimu1,kriging,2027,200,1.1455467991734565,0.01,0.01,0.00136772266,0.1647747723125232,False
QuickSimu1,kriging,2028,200,1.1770360468953098,0.01887273772845201,0.010022949255006158,0.00379399214,0.016522877033330288,False
QuickSimu1,rbf,2026,200,0.5452656429219456,0.01,0.01,0.00139773672,0.16543325815117538,False
QuickSimu1,rbf,2027,200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,rbf,2028,200,1.5867053928966548,0.01,0.01,0.00134566473,0.18475071393787468,False
QuickSimu1,polynomial,2026,200,1.5986967258903824,0.01,0.0719239050239804,0.00358802717,0.120300716221673,False
QuickSimu1,polynomial,2027,200,1.6,0.01,0.08,0.003809,0.08852864243313893,False
QuickSimu1,polynomial,2028,200,1.599883115546238,0.01,0.07322282214172371,0.00362216145,0.12207715038269278,False
QuickSimu1,kan,2026,200,0.8634334652875997,0.01,0.01,0.00138182833,0.14628400412016473,False
QuickSimu1,kan,2027,200,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kan,2028,200,1.2911535666018632,0.01,0.01,0.00136044232,0.1743680298469718,False
QuickSimu1,kan_gp,2026,200,1.3657619806996915,0.01,0.0100000000000003,0.0013567119,0.12040199890088997,False
QuickSimu1,kan_gp,2027,200,1.382921335396486,0.01,0.01,0.00135585393,0.1785583368411311,False
QuickSimu1,kan_gp,2028,200,0.5905352793447124,0.01,0.01,0.00139547324,0.16064361360925278,False
QuickSimu1,kriging,2026,300,1.5970575725710754,0.01,0.01,0.00134514712,0.18533534087913422,False
QuickSimu1,kriging,2027,300,0.4,0.01,0.01,0.001405,0.1918458280602029,False
QuickSimu1,kriging,2028,300,1.5786347374071898,0.01,0.01,0.00134606826,0.18337633245341461,False
QuickSimu1,rbf,2026,300,0.8092845488689048,0.01,0.01,0.00138453577,0.15248355901357796,False
QuickSimu1,rbf,2027,300,0.4,0.01,0.01,0.001405,0.1918458280602029,False
