model_type,sample_count,x1_mean,x2_mean,x3_mean,f_real_mean,g_real_mean,feasible_rate,n_seeds
kan,100,0.6900292722816658,0.01,0.01,0.0013904985366666666,0.18465680251250274,0.0,3
kan,200,0.8515290106298209,0.01,0.01,0.00138242355,0.17083262067577984,0.0,3
kan,300,0.4720007776695046,0.01,0.01,0.0014013999633333332,0.17902875968977994,0.0,3
kan,400,0.9603262200900339,0.01,0.010000006980581738,0.0013769839933333334,0.1583945296617698,0.0,3
kan,500,0.40620370058146243,0.01,0.010110979734336703,0.0014147685066666666,0.1414714858683467,0.0,3
kan,600,0.8539817004794541,0.01,0.01,0.0013823009133333332,0.17482800749942315,0.0,3
kan,700,0.6147184492689691,0.010000000189970262,0.01000000001481414,0.0013942641166666667,0.15597148056793878,0.0,3
kan,800,0.4001141615968841,0.010000000000321604,0.01,0.0014049942933333332,0.19310638364266483,0.0,3
kan,900,0.7620343464733942,0.01,0.010000001014446633,0.0013868983766666665,0.1662330759837933,0.0,3
kan,1000,0.7867575627126399,0.01000000382815007,0.010000001188038657,0.001385662946666667,0.1456814991506056,0.0,3
kan,1100,0.40000011428360677,0.010000000001190508,0.01,0.0014049999966666666,0.19313225286293093,0.0,3
kan,1200,0.790160038674094,0.01,0.01,0.0013854919966666667,0.18963318675353016,0.0,3
kan,1300,0.8018074129475655,0.01,0.010000040843249224,0.00138491336,0.16799039783971784,0.0,3
kan,1400,0.5228510872038844,0.01,0.01,0.0013988574466666664,0.17794399042901307,0.0,3
kan,1500,0.40018422568587103,0.01,0.0100000108237846,0.0014049917799999999,0.14574588927347829,0.0,3
kan_gp,100,1.246426116999553,0.010000000100359502,0.01,0.0013626787166666667,0.17165472073825452,0.0,3
kan_gp,200,1.1130728651469632,0.01,0.0100000000000001,0.0013693463566666665,0.15320131645042462,0.0,3
kan_gp,300,1.1514138263739966,0.010000001654605002,0.01,0.0013674296333333333,0.16909274460358933,0.0,3
kan_gp,400,0.6264472874734576,0.01,0.01000002450710996,0.001393679643333333,0.14406408642765356,0.0,3
