problem,seed,model,target,mae,rmse,r2,n_train,n_test
quick_simu_2,2026,kriging,volume,1.8166446887699083e-06,3.7740341974229e-06,0.9999999803049434,1200,300
quick_simu_2,2026,kriging,max_disp,3.8578402012935515e-08,4.6032078763038364e-08,0.8066742147227716,1200,300
quick_simu_2,2026,rbf,volume,7.278899705198683e-17,1.1406621419944676e-16,1.0,1200,300
quick_simu_2,2026,rbf,max_disp,3.876500900468203e-08,5.253526934744831e-08,0.7481914141308179,1200,300
quick_simu_2,2026,polynomial,volume,9.490093895910452e-17,9.688726976804238e-17,1.0,1200,300
quick_simu_2,2026,polynomial,max_disp,4.210244913105086e-08,5.5153124098409774e-08,0.7224706982484825,1200,300
quick_simu_2,2026,mlp64,volume,0.0021333799367069164,0.0027924095930427664,0.9892178886377962,1200,300
quick_simu_2,2026,mlp64,max_disp,0.0012468082935250565,0.0015889816797302959,-230359637.14594984,1200,300
quick_simu_2,2027,kriging,volume,1.5582195828264349e-06,2.8136674646458914e-06,0.9999999883486196,1200,300
quick_simu_2,2027,kriging,max_disp,3.534981050048064e-08,4.1595065577010656e-08,0.8326769345125383,1200,300
quick_simu_2,2027,rbf,volume,8.946547206771053e-17,1.6535254596011938e-16,1.0,1200,300
quick_simu_2,2027,rbf,max_disp,3.1793155834044715e-08,4.5598789776947184e-08,0.7989153967281204,1200,300
quick_simu_2,2027,polynomial,volume,8.863280479924166e-17,9.056962306131843e-17,1.0,1200,300
quick_simu_2,2027,polynomial,max_disp,4.323752605718647e-08,5.6178013928408206e-08,0.6947856498455418,1200,300
quick_simu_2,2027,mlp64,volume,0.0018562324005681164,0.002465151670273739,0.9910562606520069,1200,300
quick_simu_2,2027,mlp64,max_disp,0.0014087482939817292,0.0018086340644830486,-316354194.4790609,1200,300
quick_simu_2,2028,kriging,volume,1.9097405327456183e-06,3.7847738773786108e-06,0.9999999792194029,1200,300
quick_simu_2,2028,kriging,max_disp,3.8938691169552464e-08,4.703429547125616e-08,0.864342143977129,1200,300
quick_simu_2,2028,rbf,volume,1.2917907484440624e-16,1.9815979449329587e-16,1.0,1200,300
quick_simu_2,2028,rbf,max_disp,4.186468114723971e-08,5.815981983418919e-08,0.7925746804144692,1200,300
quick_simu_2,2028,polynomial,volume,7.905713121184968e-17,8.032550218966144e-17,1.0,1200,300
quick_simu_2,2028,polynomial,max_disp,4.708661517120567e-08,6.44463399740344e-08,0.7453098325806875,1200,300
quick_simu_2,2028,mlp64,volume,0.002198467793670441,0.0029228904813469398,0.987606235688119,1200,300
quick_simu_2,2028,mlp64,max_disp,0.001274800859386993,0.0016528163139018478,-167519297.06169736,1200,300
