generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,111.01009960277113,-24.0396775256835,-30.48346587601469,76.77542169139488,24.598934813609002,107.67923975422647,-6.714540778070932,-27.260143598356837,18.531311958344485,-37.71648803702553,12.17789315166345
2,195.0,25.08269172979711,-24.461195309556185,-9.955073709738853,12.583724523599193,30.36387300183725,-4.408999475514259,-38.995927554965185,19.135241526606258,4.6218167063476505,22.766779259153886,-37.92185801884299
3,290.0,11.02527707839813,0.7701881848968429,3.0609353626140674,-2.8566187500486575,-17.083173489753726,-10.117425411347163,13.37148478573793,-3.676247144772742,6.406803779545653,4.414899407998994,-23.309539179157344
4,385.0,6.282495964209295,-12.410399681207567,-16.49261516107891,0.4924021536042121,-0.6977849413426199,-0.9737450266631357,-2.303331008450192,-3.5384873387671245,-6.430259627679631,-5.434515648065517,-13.722849548467146
5,552.5,2.2155806402144256,0.08939116877646522,-1.7089907701074702,-0.5986933878790076,-1.98124341798689,-1.5414199741964496,-8.166371742479935,-7.2487466071432305,-7.228227297163356,-1.2973277282599043,-1.623886849797267
6,647.5,1.9613928750217227,2.2325773062454175,-5.166555503682423,-0.25605015030956874,-1.5780813756722034,1.3943794085852441,-1.779775461321907,-4.5942241548591385,-4.4685300701449036,1.6643424653230872,-2.944993302012476
7,742.5,1.752991982031317,2.58783881588952,-0.13079695447376152,-2.5179049924127863,-3.4519097198780453,-4.7219407913351485,-5.0070836525778475,-3.6444955212175105,-3.2550859073910963,4.1522297094286476,-3.5532206915087077
8,837.5,1.4992591678167864,2.480269604156166,-1.3182100796925527,-3.095313215564878,-2.432722278907291,-3.5421264296960127,-2.4597015921429777,-3.2538227806560696,1.4148276711939307,2.3824302378778,-2.1591805722047672
9,1043.3333333333333,1.005547190884575,1.8838229559618385,-0.5746413693511855,-0.3661869458467216,-0.2853937713110595,-1.701005745962478,2.0476639692576546,-1.8136013575226808,-3.768742065053192,1.1027428345997718,-1.8708973953908123
10,1209.3666666666666,0.65584381654235,1.0985113051597857,-1.119240557286686,0.0652115708771611,-0.2410404577248542,-0.9135755581468246,-0.4064076310360135,-1.1677912759545173,-1.8815344422486977,0.4608501691116179,-1.5055227341929307
