generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,111.01009960277113,-24.0396775256835,-30.48346587601469,76.77542169139488,24.598934813609002,107.67923975422647,-6.714540778070932,-27.260143598356837,18.531311958344485,-37.71648803702553,12.17789315166345
2,195.0,25.08269172979711,-24.461195309556185,-9.955073709738853,12.583724523599193,30.36387300183725,-4.408999475514259,-38.995927554965185,19.135241526606258,4.6218167063476505,22.766779259153886,-37.92185801884299
3,290.0,11.02527707839813,0.7701881848968429,3.0609353626140674,-2.8566187500486575,-17.083173489753726,-10.117425411347163,13.37148478573793,-3.676247144772742,6.406803779545653,4.414899407998994,-23.309539179157344
4,385.0,6.282495964209295,-12.410399681207567,-16.49261516107891,0.4924021536042121,-0.6977849413426199,-0.9737450266631357,-2.303331008450192,-3.5384873387671245,-6.430259627679631,-5.434515648065517,-13.722849548467146
5,673.1333333333333,1.8998786201057019,-0.8015140779328711,-1.5384574695233308,-3.131183839393205,-1.9837481415668887,-1.4801086909763796,-4.645140523459938,-3.1948929899240577,-2.0889543747558856,2.7025723873919234,-4.717626485384882
6,768.1333333333333,1.6749022345551525,4.074379517830811,2.3014908388365725,-3.694362670379543,-0.7664767903507539,-4.685462961350811,-6.156947758239317,-0.8531844854507972,-5.3408914686391835,0.39530408328269545,-1.923972317283894
7,863.1333333333333,1.5718146451479336,5.670039318435093,-1.0690900469906128,-4.602506885697547,-4.528615675716608,-2.4079618906066056,-6.358012092780991,-4.301258890869824,-2.2756857773428822,1.2719758109073573,-3.258225579054674
8,958.1333333333333,1.442242827036223,4.490358373500411,-0.5361305274332414,0.503283019145097,-0.04505155582764798,-0.06731121267708276,-2.1050685540098377,-2.3738954746536205,-0.7058007503864847,2.132093002490399,1.8079966069642528
9,1205.0,0.8910796877949757,-0.5622323434572392,-2.209860870326471,-2.011774582652188,0.6716303583428902,0.40405306941806884,-1.3456285844490512,-1.4640291600248572,-0.40158028049207517,-2.370743513534108,2.710286614673827
10,1502.3,0.5855700359786771,-1.7160685957491337,0.04635132527327713,-0.49859046964074477,-1.9591492684792822,0.29613141691064865,-1.0001823577792528,-1.236706440280891,-1.3315665791895874,-1.0173483793791311,0.9702928032652561
