generation,fes_mean,best_f_mean,x1_mean,x2_mean,x3_mean,x4_mean,x5_mean,x6_mean,x7_mean,x8_mean,x9_mean,x10_mean
1,100.0,-4.018157548817035,1.9169573024303923,1.5133929921923122,1.5290329089878034,1.6132206969589304,1.7229617039542091,1.252336051947979,1.5857975758455651,1.7026945008437633,1.6176071069221962,1.5375066562080404
2,195.0,-4.650582196651931,1.8935693599069068,1.5148608618152006,1.5743604041559587,1.5176641227612226,1.525831922449504,1.5814871356184965,1.5373029114686572,1.5351165754139766,1.3908118776909233,1.455719221907121
3,290.0,-5.1577607503035585,1.9593327706829686,1.51561253955369,1.4441915957227767,1.4320456148162994,1.5148559716028318,1.457907104903604,1.6662176359963565,1.6551440281217797,1.3668867286312634,1.6630099126821019
4,385.0,-5.674110439555591,1.9465496108491396,1.5615159231188842,1.5181630328031015,1.4983589775328383,1.7391367890714613,1.5549033208049257,1.6083975769373686,1.5091685780722206,1.600089955091794,1.4609356754582463
5,699.2,-6.993685446179878,2.0314393419560166,1.5748981789593204,1.5764207332381959,1.5277164939834764,1.72662161174573,1.5634752831442784,1.6084676579288344,1.4685145256580066,1.6142750497599407,1.5624465308494935
6,794.2,-7.054535580473826,2.004578206277017,1.5730152133907396,1.6055377160532105,1.519948254130261,1.7462747030526449,1.4924399248115712,1.5522982951369033,1.4730454233923154,1.6238531063482031,1.640598066701472
7,889.2,-7.1870658170635044,2.040536666516004,1.5755543449867224,1.586501096063073,1.6074605717618757,1.637871258949631,1.586783696570481,1.5185852422835266,1.5671429262453074,1.585977200341267,1.7086628811955786
8,984.2,-7.3855835339423175,2.047125512568503,1.5748681412227556,1.5429580219554944,1.5707278005044465,1.6913386727225275,1.6024551953005113,1.4065162596293592,1.5003902035053394,1.6003168931999936,1.5688408738671917
9,1175.2,-7.719784940138357,2.0789933256528927,1.5983749705098345,1.5067427641223516,1.585291841041495,1.7125410929528684,1.6024313174404665,1.4627204818742015,1.4859211912201598,1.5778581111171575,1.4944455224594948
10,1492.4333333333334,-8.486982154731654,2.0815450542363862,1.5566762572006967,1.5516168861334947,1.6070750212009808,1.6829892288478374,1.6846025684241241,1.501289293490873,1.4953690585601649,1.5071727555518348,1.5779788404624988
11,1587.4333333333334,-8.530235690271763,2.0954212934468206,1.5527245821131148,1.54855272319001,1.5500422687385331,1.7470550110900294,1.6600189061718973,1.5194924578055442,1.464916689159053,1.5583542311707994,1.5345337719883738
12,1682.4333333333334,-8.550804293450684,2.08929646980838,1.5583783603543606,1.5495554653459827,1.5480252769016754,1.72133144582147,1.639434681476094,1.490591464823895,1.5156419797403275,1.5551598587052877,1.498498835132171
13,1777.4333333333334,-8.658932719564552,2.085431560423212,1.5583055965322716,1.5156039779496078,1.4251473016575598,1.6659120354446555,1.5904222087866104,1.5092376976598822,1.5089111096406458,1.5238577329547716,1.4835208597201546
14,2013.7666666666667,-8.870931100295202,2.1077689054844635,1.5687902739919446,1.4580116099047336,1.4112643444247586,1.7008054510561437,1.6094469402887792,1.5504240356462602,1.5215587411948552,1.5424245973548913,1.543325146416161
15,2340.5666666666666,-9.116378515289421,2.115652825690765,1.570573901718395,1.4222128531976246,1.38422904664846,1.700125937152431,1.6225079168490284,1.5411960730211618,1.4909720547208931,1.588724103805756,1.5817610139635643
16,2435.5666666666666,-9.123130496222952,2.1148947826338396,1.5664263349700451,1.4235745114612732,1.3892674179660782,1.7260010641157086,1.6002127660766645,1.5554172763067045,1.5415992892165045,1.567452344089393,1.5435620009452233
17,2530.5666666666666,-9.147358423696739,2.1488584404764475,1.5635945282048362,1.4540760659265541,1.4150441453790776,1.6822036636284732,1.599507461195359,1.5422603549397969,1.5544102766369408,1.595961250476074,1.552982930621037
18,2625.5666666666666,-9.158444289715783,2.1567364663320214,1.5679711107827776,1.4537856242353604,1.4169186342237263,1.682676915927185,1.6207444892077043,1.5565209312199781,1.5723979538313309,1.596014276106663,1.5615921883565456
19,2930.3333333333335,-9.239846570907828,2.171578311843936,1.5719700531503387,1.4156600899678884,1.4949058619888473,1.667158812462368,1.5118590475220506,1.5640029163395857,1.5686751193123911,1.6235321665449094,1.5532561543057537
20,3233.4333333333334,-9.343758064477031,2.1754475016404666,1.5732194859893174,1.3827118279246242,1.492808590446113,1.6090874259906407,1.5014135119645218,1.5471950588031502,1.554788733110152,1.5907990034507071,1.562198476731584
21,3328.4333333333334,-9.351471564456775,2.17802250022866,1.5735079293070566,1.3830775824091526,1.4923673337636854,1.5939937201718912,1.5011206631095735,1.5470722633700922,1.55532699630145,1.5905732628529554,1.5540175466228798
22,3423.4333333333334,-9.356313185435408,2.1779260372326306,1.5739746474262426,1.3844079649200667,1.5194204887944642,1.5941600184228557,1.501551520085694,1.5470002111405712,1.5874359522699717,1.5901247707308988,1.5540619393116126
23,3518.4333333333334,-9.367970031925154,2.178842623034581,1.5750487161953122,1.3830838162076042,1.51904711892371,1.59474197371886,1.5661919553818902,1.561568247758133,1.563262412894933,1.589455817405759,1.5535667657580448
24,3793.4333333333334,-9.384790920524123,2.181323607968,1.5763826662033475,1.3829959386642747,1.519528491510124,1.617640270375775,1.5900727694771415,1.576274920182624,1.5758640335660279,1.5978583184244783,1.5524794758148954
25,4102.966666666666,-9.4409649999675,2.181943847090155,1.5712711445821548,1.3815907129427611,1.546666226028234,1.6164626760454566,1.6099907648448983,1.5464278809411702,1.5767949016986011,1.6214535764397497,1.5529336467524482
26,4197.966666666666,-9.44411415505486,2.17987711102856,1.5712068765104144,1.3811706664048207,1.5463164307771506,1.5998883185559045,1.6102462866724434,1.5316289494290767,1.5897229742061318,1.6338790249864252,1.5441843221089675
27,4292.966666666666,-9.45633257269351,2.1780570109620445,1.5706443365676155,1.3506076270278828,1.5706126518532406,1.6472566944791893,1.646552982653844,1.5312331008964208,1.5762375038288206,1.6248833684527184,1.5383010664058363
28,4387.966666666666,-9.457253898509352,2.176245718192386,1.5707157855541534,1.3502319804378788,1.570830603707232,1.647203730472859,1.6460505529897447,1.5447517674057651,1.5765130222332067,1.6250784815557318,1.555522237691922
29,4674.0,-9.474029485144554,2.180544071115718,1.5703018159052742,1.3485089820938891,1.5707793027224057,1.6478810904884822,1.6460341144967776,1.532066531534639,1.5763373242915686,1.6246044580616124,1.5676645294601719
30,4992.633333333333,-9.503708587964129,2.181806317510802,1.5719453894384303,1.3492246622109465,1.5724963437598383,1.6479940931727737,1.6471024952479076,1.5328246898773914,1.5766141450956292,1.6373879891474947,1.5575926960541726
31,5087.633333333333,-9.50434137876921,2.181731231521956,1.5719467012030997,1.3492603256549394,1.5725276099482521,1.647945147517864,1.647179378002405,1.5328246955771345,1.5766141983534943,1.637403017075647,1.5690670251954286
32,5182.633333333333,-9.504994743415772,2.1818161125140523,1.5719595983440138,1.3492157290236548,1.572496532710393,1.6481825604521643,1.647179378002405,1.53280204171775,1.5766127424915624,1.6375789169346764,1.569294645507696
33,5277.633333333333,-9.504994743415772,2.1818161125140523,1.5719595983440138,1.3492157290236548,1.572496532710393,1.6481825604521643,1.647179378002405,1.53280204171775,1.5766127424915624,1.6375789169346764,1.569294645507696
34,5625.9,-9.511058293988214,2.182721047070193,1.5712836794225262,1.3494369424525474,1.6000999094481279,1.6480176055763045,1.6470213966650102,1.518597328253078,1.6031224083806366,1.637349103793679,1.5812222276043342
35,5928.766666666666,-9.519626395563334,2.182885367910482,1.5710263604781516,1.3499005874670376,1.626970126856627,1.6478866664432026,1.6165539105230735,1.5329272748062392,1.6160463989546983,1.6269957764295304,1.5697626134391167
36,6023.766666666666,-9.519638717022486,2.1828871657275646,1.5710359805069727,1.3500084832756702,1.626970126856627,1.6478865304824106,1.6165771170438823,1.5329307530705654,1.6160444696705165,1.6270242891705493,1.5697626580428055
37,6118.766666666666,-9.519944683187505,2.183047925477303,1.5710359805069727,1.3504133509001421,1.626970126856627,1.6478865304824106,1.6166065932596758,1.5329307530705654,1.6159615574925346,1.6270185036893692,1.5697626580428055
38,6213.766666666666,-9.519944683187505,2.183047925477303,1.5710359805069727,1.3504133509001421,1.626970126856627,1.6478865304824106,1.6166065932596758,1.5329307530705654,1.6159615574925346,1.6270185036893692,1.5697626580428055
39,6545.466666666666,-9.522635955207686,2.184272073085563,1.5707100919836756,1.349370789756939,1.6269253632749108,1.648135117106654,1.616768802699936,1.5187700114530849,1.615991797632155,1.6270596524144854,1.5693051962169073
40,6839.866666666667,-9.524828787377244,2.1827596093426376,1.5705412633753,1.3497928135252193,1.627004027956498,1.6479309820969728,1.6016199271580764,1.5183536112205722,1.6160169362953276,1.6270322003026059,1.5597207873384857
41,6934.866666666667,-9.525393349112159,2.1848668154489785,1.5714087505643335,1.3494253337394968,1.6266447954160042,1.6479206222076228,1.6016199271580764,1.5185218756522323,1.6160003927870374,1.6270341524824277,1.5597207873384857
42,7029.866666666667,-9.525393349112159,2.1848668154489785,1.5714087505643335,1.3494253337394968,1.6266447954160042,1.6479206222076228,1.6016199271580764,1.5185218756522323,1.6160003927870374,1.6270341524824277,1.5597207873384857
43,7124.866666666667,-9.52554973812219,2.1848668154489785,1.5714087505643335,1.3497928135252193,1.627004027956498,1.6479206222076228,1.6016199271580764,1.518357589364893,1.6160003927870374,1.6270322122291072,1.5597207873384857
44,7434.6,-9.527994487247634,2.185664786710935,1.5711895388647785,1.3497984855231917,1.627014429756431,1.6482470763697363,1.601226308046195,1.51874824174292,1.6160131153265636,1.6270406638278585,1.5598315532915403
45,7729.066666666667,-9.52930742376219,2.1861393526140143,1.5704796590332575,1.3495377741350645,1.6536918663354612,1.6482412432572011,1.601172163093535,1.532793394293353,1.6159572420508799,1.627038127484768,1.5502326289122506
46,7824.066666666667,-9.52930742376219,2.1861393526140143,1.5704796590332575,1.3495377741350645,1.6536918663354612,1.6482412432572011,1.601172163093535,1.532793394293353,1.6159572420508799,1.627038127484768,1.5502326289122506
47,7919.066666666667,-9.52930742376219,2.1861393526140143,1.5704796590332575,1.3495377741350645,1.6536918663354612,1.6482412432572011,1.601172163093535,1.532793394293353,1.6159572420508799,1.627038127484768,1.5502326289122506
